field_of_study_id,field_of_study_group,field_of_study_name
1001,การท่องเที่ยวและการบริการ,การจัดการธุรกิจอาหารและศิลปะการประกอบอาหาร
1002,การท่องเที่ยวและการบริการ,การจัดการอุตสาหกรรมการบริการ
1003,การท่องเที่ยวและการบริการ,การท่องเที่ยวและการโรงแรม
2001,การแพทย์ สุขภาพ และ สาธารณสุข,เภสัชศาสตร์
2002,การแพทย์ สุขภาพ และ สาธารณสุข,ฉุกเฉินการแพทย์
2003,การแพทย์ สุขภาพ และ สาธารณสุข,การส่งเสริมสุขภาพและความงาม
2004,การแพทย์ สุขภาพ และ สาธารณสุข,กายภาพบำบัด
2005,การแพทย์ สุขภาพ และ สาธารณสุข,วิทยาศาสตร์การแพทย์
2006,การแพทย์ สุขภาพ และ สาธารณสุข,เทคนิคการแพทย์
2007,การแพทย์ สุขภาพ และ สาธารณสุข,สาธารณสุขศาสตร์
2008,การแพทย์ สุขภาพ และ สาธารณสุข,พลศึกษา
2009,การแพทย์ สุขภาพ และ สาธารณสุข,แพทยศาสตร์
2010,การแพทย์ สุขภาพ และ สาธารณสุข,พยาบาลศาสตร์
3001,การศึกษา,การแนะแนว
3002,การศึกษา,การศึกษาตลอดชีวิต
3003,การศึกษา,ครุศาสตร์อุตสาหกรรมและเทคโนโลยี
3004,การศึกษา,การบริหารการศึกษาและเทคโนโลยีการศึกษา
3005,การศึกษา,วิชาชีพครู
4001,เกษตร ป่าไม้ และสัตวศาสตร์,พืชศาสตร์และวนศาสตร์
4002,เกษตร ป่าไม้ และสัตวศาสตร์,ประมง
4003,เกษตร ป่าไม้ และสัตวศาสตร์,สัตวแพทยศาสตร์และสัตวศาสตร์
4004,เกษตร ป่าไม้ และสัตวศาสตร์,เกษตรศาสตร์
5001,ความมั่นคงและการป้องกันประเทศ,นิติวิทยาศาสตร์
5002,ความมั่นคงและการป้องกันประเทศ,การจัดการความมั่นคงปลอดภัยและสาธารณภัย
5003,ความมั่นคงและการป้องกันประเทศ,การบริหารงานตำรวจและกระบวนการยุติธรรม
6001,ธุรกิจ การจัดการ การเงิน กฎหมาย และเศรษฐศาสตร์,บริหารธุรกิจและการจัดการ
6002,ธุรกิจ การจัดการ การเงิน กฎหมาย และเศรษฐศาสตร์,การตลาด
6003,ธุรกิจ การจัดการ การเงิน กฎหมาย และเศรษฐศาสตร์,การเงินและการธนาคาร
6004,ธุรกิจ การจัดการ การเงิน กฎหมาย และเศรษฐศาสตร์,การบัญชี
6005,ธุรกิจ การจัดการ การเงิน กฎหมาย และเศรษฐศาสตร์,การบริหารทรัพยากรมนุษย์
6006,ธุรกิจ การจัดการ การเงิน กฎหมาย และเศรษฐศาสตร์,เศรษฐศาสตร์
6007,ธุรกิจ การจัดการ การเงิน กฎหมาย และเศรษฐศาสตร์,การจัดการโลจิสติกส์และการขนส่ง
6008,ธุรกิจ การจัดการ การเงิน กฎหมาย และเศรษฐศาสตร์,ธุรกิจอสังหาริมทรัพย์
6009,ธุรกิจ การจัดการ การเงิน กฎหมาย และเศรษฐศาสตร์,คอมพิวเตอร์ธุรกิจและนวัตกรรมทางธุรกิจ
6010,ธุรกิจ การจัดการ การเงิน กฎหมาย และเศรษฐศาสตร์,นิติศาสตร์
7001,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,วิทยาการคอมพิวเตอร์
7002,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,เทคโนโลยีสารสนเทศ
7003,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,วิทยาศาสตร์
7004,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,สถิติ
7005,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,เคมี
7006,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,วิทยาการข้อมูล
7007,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,คณิตศาสตร์
7008,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,วิทยาศาสตร์และเทคโนโลยีการอาหาร
7009,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,เทคโนโลยีอุตสาหกรรมและนวัตกรรมผลิตภัณฑ์
7010,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,เทคโนโลยีการพิมพ์
7011,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,เทคโนโลยีปิโตรเลียม
7012,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,วิทยาศาสตร์เครื่องสำอาง
7013,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,วิทยาศาสตร์และเทคโนโลยีสิ่งทอ
7014,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,พันธุศาสตร์
7015,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,วิทยาศาสตร์นิวเคลียร์
7016,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,วิทยาศาสตร์ทางทะเล
7017,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,วิทยาการเดินเรือ
7018,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,ชีวเคมี
7019,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,ธรณีวิทยา
7020,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,ฟิสิกส์
7021,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,วิทยาศาสตร์สิ่งแวดล้อม
7022,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,ชีววิทยา
7023,วิทยาศาสตร์ คณิตศาสตร์ และเทคโนโลยี,วิทยาศาสตร์การกีฬาและการออกกำลังกาย
8001,วิศวกรรมศาสตร์และสถาปัตยกรรมศาสตร์,วิศวกรรมศาสตร์
8002,วิศวกรรมศาสตร์และสถาปัตยกรรมศาสตร์,วิศวกรรมเครื่องกล
8003,วิศวกรรมศาสตร์และสถาปัตยกรรมศาสตร์,วิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์
8004,วิศวกรรมศาสตร์และสถาปัตยกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์
8005,วิศวกรรมศาสตร์และสถาปัตยกรรมศาสตร์,วิศวกรรมอุตสาหการและการผลิต
8006,วิศวกรรมศาสตร์และสถาปัตยกรรมศาสตร์,วิศวกรรมเมคคาทรอนิกส์
8007,วิศวกรรมศาสตร์และสถาปัตยกรรมศาสตร์,วิศวกรรมเคมี
8008,วิศวกรรมศาสตร์และสถาปัตยกรรมศาสตร์,วิศวกรรมยานยนต์
8009,วิศวกรรมศาสตร์และสถาปัตยกรรมศาสตร์,สถาปัตยกรรม
8010,วิศวกรรมศาสตร์และสถาปัตยกรรมศาสตร์,วิศวกรรมโยธา
8011,วิศวกรรมศาสตร์และสถาปัตยกรรมศาสตร์,วิศวกรรมการวัดคุม
8012,วิศวกรรมศาสตร์และสถาปัตยกรรมศาสตร์,วิศวกรรมโทรคมนาคม
