occupation_id,occupation_title,occupation_family
1,Aerospace Engineering and Operations Technologists and Technicians,Architecture and Engineering
2,Aerospace Engineers,Architecture and Engineering
3,Agricultural Engineers,Architecture and Engineering
4,Architects,Architecture and Engineering
5,Architectural and Civil Drafters,Architecture and Engineering
6,Automotive Engineering Technicians,Architecture and Engineering
7,Automotive Engineers,Architecture and Engineering
8,Bioengineers and Biomedical Engineers,Architecture and Engineering
9,Calibration Technologists and Technicians,Architecture and Engineering
10,Cartographers and Photogrammetrists,Architecture and Engineering
11,Chemical Engineers,Architecture and Engineering
12,Civil Engineering Technologists and Technicians,Architecture and Engineering
13,Civil Engineers,Architecture and Engineering
14,Computer Hardware Engineers,Architecture and Engineering
15,Electrical and Electronic Engineering Technologists and Technicians,Architecture and Engineering
16,Electrical and Electronics Drafters,Architecture and Engineering
17,Electrical Engineers,Architecture and Engineering
18,Electro-Mechanical and Mechatronics Technologists and Technicians,Architecture and Engineering
19,"Electronics Engineers, Except Computer",Architecture and Engineering
20,"Energy Engineers, Except Wind and Solar",Architecture and Engineering
21,Environmental Engineering Technologists and Technicians,Architecture and Engineering
22,Environmental Engineers,Architecture and Engineering
23,Fire-Prevention and Protection Engineers,Architecture and Engineering
24,Fuel Cell Engineers,Architecture and Engineering
25,Geodetic Surveyors,Architecture and Engineering
26,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Architecture and Engineering
27,Human Factors Engineers and Ergonomists,Architecture and Engineering
28,Industrial Engineering Technologists and Technicians,Architecture and Engineering
29,Industrial Engineers,Architecture and Engineering
30,Landscape Architects,Architecture and Engineering
31,Manufacturing Engineers,Architecture and Engineering
32,Marine Engineers and Naval Architects,Architecture and Engineering
33,Materials Engineers,Architecture and Engineering
34,Mechanical Drafters,Architecture and Engineering
35,Mechanical Engineering Technologists and Technicians,Architecture and Engineering
36,Mechanical Engineers,Architecture and Engineering
37,Mechatronics Engineers,Architecture and Engineering
38,Microsystems Engineers,Architecture and Engineering
39,"Mining and Geological Engineers, Including Mining Safety Engineers",Architecture and Engineering
40,Nanosystems Engineers,Architecture and Engineering
41,Nanotechnology Engineering Technologists and Technicians,Architecture and Engineering
42,Non-Destructive Testing Specialists,Architecture and Engineering
43,Nuclear Engineers,Architecture and Engineering
44,Petroleum Engineers,Architecture and Engineering
45,Photonics Engineers,Architecture and Engineering
46,Photonics Technicians,Architecture and Engineering
47,Radio Frequency Identification Device Specialists,Architecture and Engineering
48,Robotics Engineers,Architecture and Engineering
49,Robotics Technicians,Architecture and Engineering
50,Solar Energy Systems Engineers,Architecture and Engineering
51,Surveying and Mapping Technicians,Architecture and Engineering
52,Surveyors,Architecture and Engineering
53,Transportation Engineers,Architecture and Engineering
54,Validation Engineers,Architecture and Engineering
55,Water/Wastewater Engineers,Architecture and Engineering
56,Wind Energy Engineers,Architecture and Engineering
57,Actors,"Arts, Design, Entertainment, Sports, and Media"
58,Art Directors,"Arts, Design, Entertainment, Sports, and Media"
59,Athletes and Sports Competitors,"Arts, Design, Entertainment, Sports, and Media"
60,Audio and Video Technicians,"Arts, Design, Entertainment, Sports, and Media"
61,Broadcast Announcers and Radio Disc Jockeys,"Arts, Design, Entertainment, Sports, and Media"
62,Broadcast Technicians,"Arts, Design, Entertainment, Sports, and Media"
63,"Camera Operators, Television, Video, and Film","Arts, Design, Entertainment, Sports, and Media"
64,Choreographers,"Arts, Design, Entertainment, Sports, and Media"
